"","old_game_id","play_id","play_type_nfl","defteam","week","complete_pass","wp","yac_allowed","yac_epa_allowed","xyac_epa_allowed","xyac_mean_yardage_allowed","is_screen_pass"
"2101",2022121804,1857,"PASS","DET",15,1,0.475393414497375,1,-0.125026301073376,1.06965714933555,10.0675777978613,0
"2102",2022121804,1881,"PASS","DET",15,1,0.583654880523682,2,0.213425936293788,0.296874429552394,2.75852014526026,0
"2103",2022121804,2071,"PASS","DET",15,1,0.52744334936142,1,0.23111624433659,0.281641889823913,3.74226093501784,0
"2104",2022121804,2136,"PASS","NYJ",15,1,0.60230541229248,5,0.774085172801279,1.32509200577088,9.46479714330053,0
"2105",2022121804,2369,"PASS","NYJ",15,1,0.630443692207336,0,0,0.667550050781424,5.18366454871284,0
"2106",2022121804,2393,"PASS","NYJ",15,1,0.621838629245758,5,1.29503344953991,0.80519138250157,4.08851936885912,0
"2107",2022121804,2546,"PASS","DET",15,1,0.374170988798141,3,0.249491391470656,0.183413777463578,3.05483165045734,0
"2108",2022121804,2746,"PASS","NYJ",15,1,0.597972929477692,8,1.88106993120164,0.685123607572426,3.55290645946661,0
"2109",2022121804,2845,"PASS","NYJ",15,1,0.564868211746216,1,0.0383096942678094,0.420367116995363,3.77741883807175,0
"2110",2022121804,3132,"PASS","NYJ",15,1,0.760713577270508,4,0.303546125534922,0.23692712182046,3.60751454604906,0
"2111",2022121804,3293,"PASS","DET",15,1,0.433498740196228,1,0.0190173147129826,0.666399385923705,7.80988831247669,0
"2112",2022121804,3349,"PASS","DET",15,1,0.582780003547668,7,1.1716119790799,0.561096010975349,2.77305207517929,0
"2113",2022121804,3418,"PASS","DET",15,1,0.660350382328033,0,0,NA,NA,0
"2114",2022121804,3562,"PASS","NYJ",15,1,0.238226607441902,5,0.196534535032697,0.229633241859744,4.05078377887548,0
"2115",2022121804,3641,"PASS","NYJ",15,1,0.242560178041458,0,0,1.25865410279206,3.68695365866006,0
"2116",2022121804,3672,"PASS","NYJ",15,1,0.202192395925522,47,4.59451595426071,0.187248132695053,4.19468804060307,0
"2117",2022121804,3776,"PASS","DET",15,1,0.232160553336143,3,0.241606424620841,0.275885189922391,4.27690516394796,0
"2118",2022121804,3822,"PASS","DET",15,1,0.321125537157059,0,0,0.490518684650587,3.69398142240243,0
"2119",2022121804,3916,"PASS","DET",15,1,0.116019703447819,-4,-0.230835952759093,0.317747146237068,4.13287349155871,0
"2120",2022121700,205,"PASS","MIN",15,1,0.532493650913239,4,0.566055265255272,0.508190948463925,3.08819976705126,0
"2121",2022121700,622,"PASS","MIN",15,1,0.74647045135498,26,1.87661530671176,0.246857700749613,3.57916437610402,0
"2122",2022121700,667,"PASS","MIN",15,1,0.792019188404083,2,0.596512304968201,0.82803719681153,2.07423509514774,0
